eventType,attribute,description
AjaxRequest,appId,"The ID of your application, as recorded by New Relic."
AjaxRequest,appName,The name of the application that handled the request as shown in New Relic Browser.
AjaxRequest,asn,Autonomous System Number: a unique number identifying a group of IP networks that serves the content to the end-user.
AjaxRequest,asnLatitude,The latitude of the geographic center of the postal code where the Autonomous System Network is registered. This is not the end user's latitude.
AjaxRequest,asnLongitude,The longitude of the geographic center of the postal code where the Autonomous System Network is registered. This is not the end user's longitude.
AjaxRequest,asnOrganization,"The organization that owns the Autonomous System Number. Often an ISP, sometimes a private company or institution."
AjaxRequest,browserInteractionId,A unique value generated for each Browser interaction captured by the New Relic agent.
AjaxRequest,browserInteractionName,The name of the interaction. This is either the targetGroupedURL or the custom name set via the API.
AjaxRequest,city,"The city in which the PageView event occurred, such as Portland or Seattle."
AjaxRequest,countryCode,"The country from which the browser initiated the page load. For a list of country codes, see ISO 3166-1 alpha-2."
AjaxRequest,deviceType,"The type of device that loaded the page: either mobile, tablet, or desktop."
AjaxRequest,eventId,"A value that you can link to multiple BrowserInteraction events so you can view the interactions that occurred surrounding a specific event. For example, you can see the browser interactions that occurred prior to a JS error."
AjaxRequest,groupedPageURL,The grouped URL of the view that made the AJAX request. For example: myapp.com/acct/*/dash.
AjaxRequest,groupedRequestUrl,The grouped URL of the AJAX request. For example: myapp.com/acct/*/ajax.
AjaxRequest,hostname,The fully qualified domain name (FQDN) of the request URL.
AjaxRequest,httpMethod,The HTTP method of the AJAX request. Example: POST.
AjaxRequest,httpResponseCode,The HTTP response code. Example: 200.
AjaxRequest,jsDuration,"The total duration, in seconds, spent on JavaScript execution. (This attribute doesn't exist for initial page load events.)"
AjaxRequest,pageUrl,The URL of the page that was loaded for the PageView. For example: http://www.newrelic.com. This URL does not include query parameters.
AjaxRequest,parentEventId,A unique value generated for each interaction with the page. You can use this value to group interactions together.
AjaxRequest,port,The request port.
AjaxRequest,priority,Likelihood this event will be saved.
AjaxRequest,regionCode,"The specific administrative division within a country where the PageView event occurred. In the United States, regions correspond to state codes, such as WA or NY. Outside the United States, a country's regions correspond to numerical codes."
AjaxRequest,requestBodySize,"The payload size of the request body, in bytes."
AjaxRequest,requestUrl,The URL of the AJAX request. For example: myapp.com/acct/1/ajax.
AjaxRequest,responseBodySize,"The payload size of the response body, in bytes."
AjaxRequest,session,A unique identifier for a single session. Sessions expire when the user closes the browser. A new identifier will be assigned when the user opens up a new browser window.
AjaxRequest,timeSinceBrowserInteractionStart,The time in seconds between the start of the BrowserInteraction and the start of the request.
AjaxRequest,timestamp,"The time (date, hour, minute, second) at which the interaction occurred."
AjaxRequest,timeToLastCallbackEnd,"The duration, in seconds, from the start of the request (timestamp) to the end of the last callback. This is not just an additive function; the callback time can overlap with the wait time."
AjaxRequest,timeToLoadEventStart,"The time, in seconds, from the start of the interaction to the loadEventStart, as defined by the Navigation Timing API. This attribute exists for initial page load events, not route changes."
AjaxRequest,timeToSettle,"The time, in seconds, from the start of the request to when all resulting callbacks (including callbacks of subsequent AJAX requests) are complete."
AjaxRequest,userAgentName,"The browser’s name, such as Chrome and Firefox, obtained from the “User-Agent” header of an HTTP request."
AjaxRequest,userAgentOS,"The browser’s reported operating system, such as Windows or Linux, that it is running on which is obtained from the “User-Agent” header of a HTTP request."
AjaxRequest,userAgentVersion,The browser’s reported software version which is obtained from the “User-Agent” header of an HTTP request.
AwsLambdaInvocation,aws.coldStart,A boolean indicating if the AWS Lambda invocation is a cold start.
AwsLambdaInvocation,aws.lambda.arn,The Amazon Resource Name (ARN) of the instrumented Lambda function.
AwsLambdaInvocation,aws.lambda.eventSource.arn,The Amazon Resource Name (ARN) of the entity that invoked the instrumented Lambda function.
AwsLambdaInvocation,aws.requestId,AWS identifier of the invocation.
AwsLambdaInvocation,databaseCallCount,The number of database calls made by this transaction.
AwsLambdaInvocation,databaseDuration,The database response time in seconds.
AwsLambdaInvocation,duration,"The total invocation time for the transaction, in seconds."
AwsLambdaInvocation,duration,"The total invocation time for the transaction, in seconds."
AwsLambdaInvocation,externalCallCount,The number of external calls made by this transaction.
AwsLambdaInvocation,externalDuration,"The total response time of all externals, in seconds."
AwsLambdaInvocation,httpResponseCode,The HTTP response code associated with the transaction.
AwsLambdaInvocation,parent.account,"If a distributed tracing payload is received, this is the account identifier for the transaction's upstream caller."
AwsLambdaInvocation,parent.app,"If a distributed tracing payload is received, this is the application identifier. APM agents retrieve this value in the connect response under the key `primary_application_id`."
AwsLambdaInvocation,parent.transportType,"When a distributed tracing payload is received, the method of transport for the payload. For example: `Unknown`, `HTTP`, `HTTPS`, `Kafka`, `JMS`, `IronMQ`, `AMQP, `Queue`, or `Other`."
AwsLambdaInvocation,parent.type,"If a distributed trace payload was received, the parent's data source type. For example: `App`, `Browser`, or `Mobile`."
AwsLambdaInvocation,request.headers.contentLength,Incoming request size in bytes as read from the Content-Length HTTP request header.
AwsLambdaInvocation,request.headers.contentType,Incoming request content-type as read from the HTTP request header Content-Type. For example: `application/octet-stream`.
AwsLambdaInvocation,request.headers.host,The name from the HTTP host request header.
AwsLambdaInvocation,request.headers.referer,The incoming request referer as read from the Referer request header.
AwsLambdaInvocation,request.headers.User-Agent,The contents of the User-Agent HTTP header.
AwsLambdaInvocation,request.method,The HTTP request method used. For example: `POST` or `GET`.
AwsLambdaInvocation,requests.header.accept,The types as read from the HTTP Accept request header.
AwsLambdaInvocation,response.headers.contentLength,The outgoing response size in bytes as read from the Content-Length response header.
AwsLambdaInvocation,response.headers.contentType,"For an HTTP response, the data type of the returned response. For example: `text/html` or `application/json`."
AwsLambdaInvocation,totalTime,"The sum of all async components' duration, in seconds. An async component is a method or function where there is no instrumented encapsulating method or function."
AwsLambdaInvocation,type,The New Relic event type. For example: `Transaction` or `Span`.
AwsLambdaInvocationError,aws.coldStart,A boolean indicating if the AWS Lambda invocation is a cold start.
AwsLambdaInvocationError,aws.lambda.arn,The Amazon Resource Name (ARN) of the instrumented Lambda function.
AwsLambdaInvocationError,aws.lambda.eventSource.arn,The Amazon Resource Name (ARN) of the entity that invoked the instrumented Lambda function.
AwsLambdaInvocationError,aws.requestId,AWS identifier of the invocation.
AwsLambdaInvocationError,databaseCallCount,The number of database calls made by this transaction.
AwsLambdaInvocationError,databaseDuration,The database response time in seconds.
AwsLambdaInvocationError,duration,"The total invocation time for the transaction, in seconds."
AwsLambdaInvocationError,duration,"The total invocation time for the transaction, in seconds."
AwsLambdaInvocationError,error.class,The class name or type for the error. This will be server and platform specific.
AwsLambdaInvocationError,error.message,The error message for the transaction. This will be server and platform specific.
AwsLambdaInvocationError,externalCallCount,The number of external calls made by this transaction.
AwsLambdaInvocationError,externalDuration,"The total response time of all externals, in seconds."
AwsLambdaInvocationError,httpResponseCode,The HTTP response code associated with the transaction.
AwsLambdaInvocationError,parent.account,"If a distributed tracing payload is received, this is the account identifier for the transaction's upstream caller."
AwsLambdaInvocationError,parent.app,"If a distributed tracing payload is received, this is the application identifier. APM agents retrieve this value in the connect response under the key `primary_application_id`."
AwsLambdaInvocationError,parent.transportType,"When a distributed tracing payload is received, the method of transport for the payload. For example: `Unknown`, `HTTP`, `HTTPS`, `Kafka`, `JMS`, `IronMQ`, `AMQP, `Queue`, or `Other`."
